Timestamp	Accel X	Accel Y	Accel Z	Gyro X	Gyro Y	Gyro Z	Start Flag							
299	-0.174194336	0.961547852	-0.149169922	-0.183105454	2.62451148	-2.502441406	10							
300	-0.119384766	0.968994141	-0.151733398	1.037597656	-1.281738162	-1.831054568	10							
301	-0.147583008	0.958374023	-0.135620117	-0.793456972	-0.366210908	-0.366210908	10							
302	-0.148681641	0.964477539	-0.137329102	-0.793456972	1.831054568	-1.403808475	10							
303	-0.106323242	0.965820313	-0.147460938	0	-1.098632813	-0.793456972	10							
304	-0.141601563	0.961303711	-0.139404297	-1.831054568	0.061035153	-0.97656244	10							
305	-0.127075195	0.969848633	-0.154541016	-0.122070305	-3.11279273	-4.943847656	10							
306	-0.195800781	0.981445313	-0.149902344	10.07079983	-28.62548637	-60.48583603	10							
307	-0.050415039	0.887939453	-0.103271484	-4.028320313	-34.36279297	-110.0463791	10							
308	0.421630859	0.956542969	-0.140380859	24.53613091	-37.65869141	-84.04540253	10							
309	0.557006836	0.682128906	-0.034545898	72.50976563	80.93260956	-22.58300591	10							
310	0.177490234	0.971069336	0.040283203	-9.460449219	-32.83691406	-3.356933355	10							
311	0.756225586	0.767822266	0.097045898	20.01953125	34.05761719	-16.23535156	10							
312	0.589599609	0.850463867	0.016357422	-2.502441406	-13.79394436	1.098632813	10							
313	0.533813477	0.83190918	0.065917969	-7.202147961	3.417968512	-7.446288586	10							
314	0.512329102	0.857299805	0.034667969	4.150390625	15.50292873	1.708984256	10							
315	0.575073242	0.821044922	0.059936523	-14.34326077	-0.061035153	15.1367178	10							
316	0.457885742	0.8984375	-0.030151367	-13.06152248	23.92577934	48.9501915	10							
317	0.389648438	0.893920898	-0.013061523	-23.80370903	9.582519531	71.47216797	10							
318	0.161865234	1.003173828	-0.055541992	-24.23095512	-16.6015625	106.6894455	10							
319	-0.072875977	0.925048828	-0.078125	-5.249022961	22.52197075	67.32177734	10							
320	-0.069458008	0.961547852	-0.05480957	-1.770019412	11.59667873	18.49365234	10							
321	-0.203491211	0.978759766	-0.046875	6.164550304	20.38574028	-15.31982327	10							
322	-0.114257813	0.951049805	-0.163208008	-0.915527284	-3.60107398	-0.610351563	10							
323	-0.128051758	0.96081543	-0.063720703	-2.929687262	2.990722418	-2.258300781	10							
324	-0.105102539	0.967285156	-0.157470703	-1.586913943	1.892089725	0	11							
325	-0.183959961	0.972290039	-0.131958008	-2.990722418	13.91601467	2.075195313	11							
326	-0.143554688	0.960571289	-0.14440918	-1.892089725	0.549316406	3.11279273	11							
327	-0.085571289	0.962646484	-0.153076172	-1.708984256	-1.525878787	4.150390625	11							
328	-0.194458008	0.960327148	-0.116699219	-4.699707031	-3.540038824	4.821777344	11							
329	-0.163330078	0.961303711	-0.160888672	-0.183105454	0.549316406	-0.305175781	11							
330	-0.134765625	0.960693359	-0.145019531	-0.122070305	0.915527284	2.197265625	11							
331	-0.203979492	0.956298828	-0.131591797	0	0.97656244	-1.6479491	11							
332	-0.154785156	0.968261719	-0.151611328	-0.549316406	2.136230469	-2.563476324	11							
333	-0.131225586	0.958984375	-0.140258789	-0.732421815	-0.915527284	0.854492128	11							
334	-0.185546875	0.955932617	-0.12512207	-2.380371094	-1.281738162	-1.525878787	11							
335	-0.143432617	0.964111328	-0.157348633	2.563476324	-18.31054688	-24.59716606	11							
336	-0.033325195	0.970703125	-0.120605469	34.36279297	-57.61718369	-126.2206955	11							
337	0.187255859	0.947387695	-0.036376953	19.83642578	-17.51708984	-89.1113205	11							
338	0.327758789	0.924560547	-0.067260742	7.995604992	-8.544921875	-44.67773056	11							
339	0.749267578	0.843017578	0.025756836	6.164550304	-13.61083889	-7.751464367	11							
340	0.08203125	0.943725586	-0.002075195	24.41406059	19.10400391	-7.934569836	11							
341	0.649291992	0.813720703	0.037475586	-5.371093273	-13.79394436	-3.295898199	11							
342	0.471191406	0.852294922	0.06237793	3.479003668	17.63916016	-12.2070303	11							
